index,original_name,material_name,molecular_formula,specific_price,specific_energy,energy_type,source,notes
Iron Ore,Magnetite,Iron Ore,Fe3O4,0.139,,,Olympios 2021,
Solar Salt,Molten Salt,Solar Salt,,1,,,Olympios 2021,
Iron Ore,Magnetite,Iron Ore,Fe3O4,,0.125,sensible_thermal,Grosu 2017,approximate from graph averaged to 500K by eye and calculated by hand (TODO)
Metallurgical Silicon,Silicon,Metallurgical Silicon,Si,,0.516,sensible_thermal,Ray 2021,https://www.sciencedirect.com/science/article/abs/pii/S2213138821002599
Al2O3,Al2O3 Dielectric Capacitor,,,,0.000001,electrostatic,Calculation,For typical breakdown strength of ~10^7 V/m we get ~ 1Wh/m^3 ~10^(-3)  Wh/kg
Synthetic H2,,,H2,0.009,39.4,chemical,Calculation,Assuming Water cost 0.001 $/kg
Synthetic CH4 (Sabatier),,,CH4,0.095,15.4,chemical,Calculation,Revist: Sabbatier reaction Using previously calculated H2 cost and carbon cost
Synthetic NH3 (Haber-Bosch),,,NH3,0.0592,6.25,chemical,Calculation,Using elemental N2 cost and previously calculated H2 cost
Synthetic H2 (Cavern),,,H2,0.36,39.4,chemical,Ahluwalia,"Ahluwalia, Rajesh. “System Level Analysis of Hydrogen Storage Options,” n.d., 42"
Stone,Block Stacking,,,,0.0003,gravitational,,"Estimate based on deltaH = 100m, from energy vault design"
Water Reservoir,Pumped Hydro,,,0.261,0.001,gravitational,Calculation/Black and Veatch,Based on Black and Veatch 2012 resirvoir cost numbers. Height 300 meters typical
